username,full_name,twitter_url,tweet_text,tweet_time,number_of_likes,no_of_retweets,no_of_replies,mentions,no_of_mentions,hashtags,no_of_hashtags,call_to_action,image_url
,,https://twitter.com/Miss_duttaa/status/1306893275270246400,"""Yes....with uh sir...
DEKHO EN CHHAKKO KA REAL CHEHRA...THAT'S WHY THEY WERE JEALOUS OF #SSR..😡😡🤬👎👎
👇👇👇👇👇👇👇
#ExposeDishaSalianCase… https",2020-09-18 02:50:00,210,139,7,,0,SSR | ExposeDishaSali,2,,https://pbs.twimg.com/media/EiMEfiQVgAEFPVW.jpg
patelsoha18,Soha Patel ,https://twitter.com/patelsoha18/status/1307342489683066880,"""No time For BULLYDAWOOD & IPL 👍
#JusticeForSSR""",2020-09-19 08:35:00,109,84,6,,0,JusticeForSSR,1,,
neha07me,Neha_BadiLambiyaanSiJudaiyaan,https://twitter.com/neha07me/status/1307030937545240577,"""Every case on these Bullywood mafia should be reopened, specially the mystery deaths.
1)Guru Dutt
2)Praveen Babi 
3)Divya Bharti
4)Jiah Khan
5)Disha Salian 
6)SSR
7)Sameer 
#MurdererBollywwod 
#JusticeForDisha 
#JusticeForSSR… https",2020-09-18 11:57:00,103,83,3,,0,MurdererBollyww | JusticeForDisha | JusticeForSSR,3,,
sush_thephoton,SUSH ,https://twitter.com/SUSH_ThePhoton/status/1307902981904330752,"""Hii @itsSSR . Now please come back. We are waiting. 🥺🥺❤️❤️

#SushantSinghRajput… """,2020-09-20 21:42:00,48,15,1,itsSSR,1,SushantSinghRaj,1,,https://pbs.twimg.com/media/Eiaa0ftUwAE_yzF.jpg
kesava_priya30,KesavaPriya,https://twitter.com/kesava_priya30/status/1307360671420411904,"""One of his dreams got freezed... can't accepting it...#JusticeForSSR… """,2020-09-19 09:47:00,,,0,,0,JusticeForSSR,1,,https://pbs.twimg.com/media/EiStmebVoAAK6Se.jpg
rajeshw61113026,vaishaliraj ,https://twitter.com/Rajeshw61113026/status/1305847355854303232,"""Picture of the day  Here's an unmissable picture of late actors #Sridevi and #SushantSinghRajput !

#DishaSSRMurderLink

#WeStayUnited4SSR… https",2020-09-15 05:34:00,337,169,18,,0,Sridevi | SushantSinghRaj | DishaSSRMurderL | WeStayUnited4SS,4,,https://pbs.twimg.com/media/Eh9NPiMUcAA7k-0.jpg
meenadasnarayan,Meena Das Narayan,https://twitter.com/MeenaDasNarayan/status/1306899832032821248,"""#SushantSinghRajput has no one except the ordinary public fighting for him and his family..continue n we can get justice""",2020-09-18 03:16:00,351,139,19,,0,SushantSinghRaj,1,,
sush_thephoton,SUSH ,https://twitter.com/SUSH_ThePhoton/status/1306109047221882880,"""Sometimes imagination is better than reality 😭💔

#SushantSinghRajput
#AnkitaLokhande 
#NationWantsDishaSSRTruth… """,2020-09-15 22:53:00,35,14,1,,0,SushantSinghRaj | AnkitaLokhande | NationWantsDish,3,,https://pbs.twimg.com/media/EiA7QYjUwAcMsG9.jpg
_shivanisays_,Shivani ,https://twitter.com/_shivanisays_/status/1307275646402347008,"""My precious smol bean ❤😍

#SushantSinghRajput
#SushantInOurHeartsForever… """,2020-09-19 04:09:00,241,96,11,,0,SushantSinghRaj | SushantInOurHea,2,,https://pbs.twimg.com/media/EiRf5FQU4AIy27J.png | https://pbs.twimg.com/media/EiRf5FRVoAAmT0R.png
ahaana_uk,M,https://twitter.com/Ahaana_UK/status/1306149713192849409,"""FOR SUSHANT 

#SushantSinghRajput… """,2020-09-16 01:35:00,90,79,6,,0,SushantSinghRaj,1,,
ani,ANI,https://twitter.com/ANI/status/1307693863776055301,"""#SushantSinghRajput death case",2020-09-20 07:51:00,"3,960",489,47,,0,SushantSinghRaj,1,,
,,https://twitter.com/DurgeshGupta_/status/1307179037056364544,"""Who is the Real Bollywood Superstar in both.??

RT for Sushant 🔃 
Like For Salman ❤️ 

#SushantSinghRajput
#1MonthOfInjusticeToSSR https",2020-09-18 21:45:00,"2,319",657,144,,0,SushantSinghRaj | 1MonthOfInjusti,2,,https://pbs.twimg.com/media/Ec4ZrV8UMAEHJh_.jpg
naturalphoton,True Photon For #DreamsOfSSR #JusticeForSSR,https://twitter.com/naturalphoton/status/1306808199828221958,"""Real TRIBUTE to #SushantSinghRajput would be to LEARN his wonderful discipline, To be OPTIMISTIC,  To Remain POSITIVE, To fight against ODDs and to INSPIRE others...

Be the POSITIVE change in Other's LIVEs!!

A Take Away for Us!!

#2BrutalMurders… https",2020-09-17 21:12:00,319,404,15,,0,SushantSinghRaj | 2BrutalMurders,2,,https://pbs.twimg.com/media/EiK3IZNUwAE-cBS.jpg
asjadnazir,Asjad Nazir,https://twitter.com/asjadnazir/status/1307273825290194945,"""I am so glad Byomkesh Bakshi is trending. The times I spoke to #SushantSinghRajput I told him that was my favourite performance of his. I asked if he would like to revisit the character and he said",2020-09-19 04:02:00,"1,004",322,21,,0,SushantSinghRaj,1,,
filmycurry,FilmyCurry,https://twitter.com/FilmyCurry/status/1307965067699220480,"""#SushantSinghRajput case",2020-09-21 01:49:00,688,155,28,,0,SushantSinghRaj,1,,https://pbs.twimg.com/media/EibTS-hVkAMIzQf.jpg
bollyhungama,BollyHungama,https://twitter.com/Bollyhungama/status/1308020655678525441,""".@SonuSood says people who never met #SushantSinghRajput have been talking about his death for limelight

https",2020-09-21 05:30:00,996,314,60,SonuSood,1,SushantSinghRaj,1,,
